8 1 -1 872449025
9 1 -1 872449153
10 1 -1 872449281
5 2 -1 872448642
6 2 -1 872448770
7 2 -1 872448898
8 2 -1 872449026
9 2 -1 872449154
10 2 -1 872449282
4 3 -1 872448515
5 3 -1 872448643
6 3 -1 872448771
7 3 -1 872448899
8 3 -1 872449027
9 3 -1 872449155
10 3 -1 872449283
4 4 -1 872448516
5 4 -1 872448644
6 4 -1 872448772
7 4 -1 872448900
8 4 -1 872449028
9 4 -1 872449156
10 4 -1 872449284
6 5 -1 872448773
7 5 -1 872448901
8 5 -1 872449029
9 5 -1 872449157
10 5 -1 872449285
6 6 -1 872448774
7 6 -1 872448902
8 6 -1 872449030
9 6 -1 872449158
10 6 -1 872449286
3 7 -1 872448391
4 7 -1 872448519
6 7 -1 872448775
7 7 -1 872448903
8 7 -1 872449031
9 7 -1 872449159
10 7 -1 872449287
3 8 -1 872448392
4 8 -1 872448520
5 8 -1 872448648
6 8 -1 872448776
7 8 -1 872448904
8 8 -1 872449032
9 8 -1 872449160
10 8 -1 872449288
3 9 -1 872448393
6 9 -1 872448777
7 9 -1 872448905
8 9 -1 872449033
9 9 -1 872449161
2 10 -1 872448266
3 10 -1 872448394
6 10 -1 872448778
7 10 -1 872448906
8 10 -1 872449034
1 11 -1 872448139
2 11 -1 872448267
3 11 -1 872448395
6 11 -1 872448779
7 11 -1 872448907
8 11 -1 872449035
1 12 -1 872448140
2 12 -1 872448268
4 12 -1 872448524
5 12 -1 872448652
6 12 -1 872448780
7 12 -1 872448908
8 12 -1 872449036
9 12 -1 872449164
4 13 -1 872448525
5 13 -1 872448653
6 13 -1 872448781
7 13 -1 872448909
8 13 -1 872449037
5 14 -1 872448654
6 14 -1 872448782
7 14 -1 872448910
5 15 -1 872448655
6 15 -1 872448783
5 2 1 872465026
6 2 1 872465154
7 2 1 872465282
4 3 1 872464899
5 3 1 872465027
6 3 1 872465155
7 3 1 872465283
4 4 1 872464900
5 4 1 872465028
6 4 1 872465156
7 4 1 872465284
8 4 1 872465412
6 5 1 872465157
7 5 1 872465285
8 5 1 872465413
6 6 1 872465158
7 6 1 872465286
8 6 1 872465414
6 7 1 872465159
7 7 1 872465287
8 7 1 872465415
9 7 1 872465543
7 8 1 872465288
8 8 1 872465416
9 8 1 872465544
8 9 1 872465417
9 9 1 872465545
