1.         1.         1.         1.         1.         1.
  1.         1.         0.23851674 0.75994929 0.77883232 1.20418849
  1.00033988 0.49628163 1.         1.         1.         1.
  1.         1.         1.         1.        
 1.         1.         1.         1.         1.         1.
  1.         1.         0.23851674 0.75994929 0.77883232 1.20418849
  1.00033988 0.49628163 1.         1.         1.         1.
  1.         1.         1.         1.        
 1.         1.         1.         1.         1.         0.54620771
  1.0728296  0.9300736  0.87193875 0.82950616 0.90137476 0.78443513
  0.848964   0.83437056 0.9213912  1.25747186 0.64087595 1.
  1.         1.         1.         1.        
 1.         1.         1.         1.         0.5261685  0.90793312
  0.83734754 0.90857322 0.79978502 0.86898169 0.94533142 1.12363833
  1.08604457 1.04810353 0.98998854 0.90436444 1.64588732 0.68033688
  1.         1.         1.         1.        
 1.         1.         1.         0.52920058 0.79393993 0.96829629
  0.96418285 1.15574804 1.08055555 1.3022216  1.16143601 1.27325822
  1.18610076 1.02963112 1.16688152 1.03619407 0.98649999 0.92080553
  0.65464868 1.         1.         1.        
 1.         1.         0.50530483 1.27182962 0.93637606 1.04439566
  1.04646357 1.22499183 1.22121992 1.29060744 1.29730137 1.5796079
  1.44846155 1.33328468 1.22618087 1.29267312 1.20784763 0.90831534
  1.33496233 0.57733503 1.         1.        
 1.         1.         1.10170668 0.87664337 0.99333192 1.22700642
  1.21933795 1.67383813 1.69576759 1.71676656 2.05601751 1.
  1.61256381 2.00837898 1.59680687 1.32494994 1.27137402 1.04321893
  0.86094128 1.11322711 1.         1.        
 1.         1.         0.80835066 0.87806662 1.0273103  1.23780447
  1.         1.99244182 2.07629203 1.9172336  2.28974069 2.37507711
  1.91676633 2.16254976 1.9403272  1.54875688 1.30611843 1.13945798
  0.50231554 1.03822786 1.         1.        
 0.47135014 0.47135014 0.83573547 0.8940633  1.04268897 1.49335472
  1.84704891 2.05095384 2.04071981 1.89106727 1.46743794 1.89052651
  2.32864647 3.30008185 2.47531576 1.91457797 1.47426602 1.12754909
  1.04056349 0.87498566 0.46178499 0.46178499
 1.12269566 1.12269566 0.86026839 1.03169858 1.28818581 1.59866693
  1.97091167 1.97590749 1.8462965  0.82472594 1.         1.
  0.73407073 2.33102869 2.147129   1.93167819 1.67242808 1.30729199
  1.06961658 0.95160883 1.2913729  1.2913729 
 0.82614516 0.82614516 0.9839342  1.22381486 1.22532204 1.63046481
  2.26948879 2.43221028 1.45959223 1.         1.         1.
  1.         1.39203349 2.68169842 2.31492736 1.62611506 1.30068133
  1.23942327 1.04941072 0.86863292 0.86863292
 0.78374917 0.78374917 1.01990205 1.11453152 1.36589845 1.72105008
  2.27269497 2.8152401  1.31120513 1.         1.         1.
  1.         1.71307476 2.47553302 2.4501152  1.76396734 1.31734525
  1.21955784 0.96861862 0.92099608 0.92099608
 1.05883169 1.05883169 0.94464848 1.07790962 1.49404843 1.81669204
  1.95535241 1.95025043 2.33308931 1.06930272 1.         1.
  1.16907363 1.80808565 2.21613161 1.91468615 1.6149606  1.34325113
  1.09813851 0.95935719 1.64833119 1.64833119
 0.87979267 0.87979267 0.95689685 0.98444293 1.29921987 1.70892523
  1.9992386  2.43373973 2.16091431 2.62187534 1.44938472 1.73123284
  2.19742211 2.53124193 2.09697682 1.79384028 1.44446044 1.0621414
  0.94944741 0.84272422 0.86287363 0.86287363
 1.         1.         0.73328559 0.93832907 1.34786557 1.70910531
  1.70847843 1.96323994 2.23257791 1.97673856 2.59760566 2.47060725
  1.86356304 2.06376369 2.01182265 1.54966495 1.2183504  1.10784545
  0.91737868 1.3682668  1.         1.        
 1.         1.         0.75935996 0.90269629 1.12959711 1.33332908
  1.33862844 1.67082051 1.77794395 1.7445907  2.10582663 2.12295317
  1.78699915 1.91869498 1.58521221 1.2378368  1.34175493 1.01728213
  0.89250832 1.08260544 1.         1.        
 1.         1.         0.76393432 0.94268572 0.96846419 1.13203846
  1.44422115 1.43046209 1.30504584 1.40740403 1.41609535 1.55445634
  1.50670292 1.44105876 1.30550884 1.40952949 1.11071092 0.96101797
  1.         0.70491694 1.         1.        
 1.         1.         1.         0.60604396 0.91493556 1.06467125
  1.04851803 0.9419128  1.04635918 1.24312342 1.05929925 1.18054524
  1.30085326 1.04060063 1.12353138 0.99419131 1.02909271 0.86262671
  0.62960727 1.         1.         1.        
 1.         1.         1.         1.         0.6372993  1.06773736
  0.98000632 0.79584394 0.86485282 0.89629221 0.98106335 1.14994429
  1.04537796 0.93204632 0.97988087 0.93080663 1.23263989 0.6129124
  1.         1.         1.         1.        
 1.         1.         1.         1.         1.         0.30480666
  0.75235042 0.84700632 0.82403961 0.85707611 0.77168431 0.91802865
  1.02975992 0.83778428 1.35933806 0.98783222 0.48489746 1.
  1.         1.         1.         1.        
 1.         1.         1.         1.         1.         1.
  1.         1.         0.35024185 0.723563   0.72585016 0.78644429
  0.94348566 0.58606909 1.         1.         1.         1.
  1.         1.         1.         1.        
 1.         1.         1.         1.         1.         1.
  1.         1.         0.35024185 0.723563   0.72585016 0.78644429
  0.94348566 0.58606909 1.         1.         1.         1.
  1.         1.         1.         1.
